areacode/城市ID,province_geocode,province,city_geocode,city,district_geocode,district,eng,pinyin,lon,lat,exclude（是否为地级市）
101010900,110000,北京市,110100,北京市,110106,丰台,fengtai,fengtai,116.286968,39.863642,0
101011000,110000,北京市,110100,北京市,110107,石景山,shijingshan,shijingshan,116.195445,39.914601,0
101011400,110000,北京市,110100,北京市,110109,门头沟,mentougou,mentougou,116.105381,39.937183,0
101011200,110000,北京市,110100,北京市,110111,房山,fangshan,fangshan,116.139157,39.735535,0
101010600,110000,北京市,110100,北京市,110112,通州,tongzhou,tongzhou,116.658603,39.902486,0
101010700,110000,北京市,110100,北京市,110114,昌平,Changping,changping,116.235906,40.218085,0
101010500,110000,北京市,110100,北京市,110116,怀柔,Huairou,huairou,116.637122,40.324272,0
101011500,110000,北京市,110100,北京市,110117,平谷,pinggu,pinggu,117.112335,40.144783,0
101011300,110000,北京市,110100,北京市,110118,密云,Miyun,miyun,116.843352,40.377362,0
101010800,110000,北京市,110100,北京市,110119,延庆,yanqing,yanqing,115.985006,40.465325,0
101011600,110000,北京市,110100,北京市,110101,东城,dongcheng,dongcheng,116.4227,39.9346,0
101010300,110000,北京市,110100,北京市,110105,朝阳,chaoyang,chaoyang,116.4879,39.9516,0
101010200,110000,北京市,110100,北京市,110108,海淀,haidian,haidian,116.3169,39.9995,0
101010400,110000,北京市,110100,北京市,110113,顺义,Shunyi,shunyi,116.6575,40.1335,0
101011100,110000,北京市,110100,北京市,110115,大兴,Daxing,daxing,116.3479,39.7329,0
101010100,110000,北京市,110100,北京市,110100,北京,Beijing,beijing,116.4033,39.9238,1
101011700,110000,北京市,110100,北京市,110102,西城,xicheng,xicheng,116.3723,39.9185,0
101030800,120000,天津市,120100,天津市,120101,和平区,Heping District ,hepingqu,117.195907,39.118327,0
101031200,120000,天津市,120100,天津市,120102,河东区,Hedong District ,hedongqu,117.226568,39.122125,0
101031300,120000,天津市,120100,天津市,120103,河西区,Hexi District ,hexiqu,117.217536,39.101897,0
101031500,120000,天津市,120100,天津市,120104,南开区,Nankai District ,nankaiqu,117.164143,39.120474,0
101031600,120000,天津市,120100,天津市,120105,河北区,Hebei District ,hebeiqu,117.201569,39.156632,0
101031700,120000,天津市,120100,天津市,120106,红桥区,Hongqiao District ,hongqiaoqu,117.163301,39.175066,0
101030400,120000,天津市,120100,天津市,120110,东丽区,Dongli District ,dongliqu,117.313967,39.087764,0
101030500,120000,天津市,120100,天津市,120111,西青区,xiqing District ,xiqingqu,117.012247,39.139446,0
101031000,120000,天津市,120100,天津市,120112,津南区,Jinnan District ,jinnanqu,117.382549,38.989577,0
101030600,120000,天津市,120100,天津市,120113,北辰区,beichen District ,beichenqu,117.13482,39.225555,0
101030200,120000,天津市,120100,天津市,120114,武清区,wuqing District ,wuqingqu,117.057959,39.376925,0
101030300,120000,天津市,120100,天津市,120115,宝坻区,baodi District ,baodiqu,117.308094,39.716965,0
101031100,120000,天津市,120100,天津市,120116,滨海新区,Binhai New District ,binhaixinqu,117.654173,39.032846,0
101030700,120000,天津市,120100,天津市,120117,宁河区,Ninghe District ,ninghequ,117.82828,39.328886,0
101030100,120000,天津市,120100,天津市,120100,天津,Tianjin,tianjin,117.208,39.091,1
101030900,120000,天津市,120100,天津市,120118,静海区,Jinghai District,jinghaiqu,116.925304,38.935671,0
101031400,120000,天津市,120100,天津市,120119,蓟州区,Jizhou District ,jizhouqu,117.407449,40.045342,0
101090119,130000,河北省,130100,石家庄市,130102,长安区,Chang'an District ,changanqu,114.548151,38.047501,0
101090120,130000,河北省,130100,石家庄市,130104,桥西区,Qiaoxi District ,qiaoxiqu,114.462931,38.028383,0
101090121,130000,河北省,130100,石家庄市,130105,新华区,Xinhua District,Xinhuaqu,114.465974,38.067142,0
101090122,130000,河北省,130100,石家庄市,130107,井陉矿区,Jingxing Mining Area,Jingxingkuangqu,114.058178,38.069748,0
101090123,130000,河北省,130100,石家庄市,130108,裕华,Yuhua District,Yuhuaqu,114.533257,38.027696,0
101090115,130000,河北省,130100,石家庄市,130109,藁城,gaocheng,gaocheng,114.849647,38.033767,0
101090118,130000,河北省,130100,石家庄市,130110,鹿泉,luquan,luquan,114.321023,38.093994,0
101090104,130000,河北省,130100,石家庄市,130111,栾城,Luancheng,luancheng,114.654281,37.886911,0
101090102,130000,河北省,130100,石家庄市,130121,井陉,jingxing,jingxing,114.144488,38.033614,0
101090103,130000,河北省,130100,石家庄市,130123,正定,Zhengding,zhengding,114.569887,38.147835,0
101090105,130000,河北省,130100,石家庄市,130125,行唐,xingtang,xingtang,114.552734,38.437422,0
101090106,130000,河北省,130100,石家庄市,130126,灵寿,lingshou,lingshou,114.37946,38.306546,0
101090107,130000,河北省,130100,石家庄市,130127,高邑,gaoyi,gaoyi,114.610699,37.605714,0
101090108,130000,河北省,130100,石家庄市,130128,深泽,shenze,shenze,115.200207,38.18454,0
101090109,130000,河北省,130100,石家庄市,130129,赞皇,zanhuang,zanhuang,114.387756,37.660199,0
101090110,130000,河北省,130100,石家庄市,130130,无极,wuji,wuji,114.977845,38.176376,0
101090111,130000,河北省,130100,石家庄市,130131,平山,pingshan,pingshan,114.184144,38.259311,0
101090112,130000,河北省,130100,石家庄市,130132,元氏,yuanshi,yuanshi,114.52618,37.762514,0
101090113,130000,河北省,130100,石家庄市,130133,赵县,zhaoxian,zhaoxian,114.775362,37.754341,0
101090114,130000,河北省,130100,石家庄市,130181,辛集,xinji,xinji,115.217451,37.92904,0
101090116,130000,河北省,130100,石家庄市,130183,晋州,jinzhou,jinzhou,115.044886,38.027478,0
101090117,130000,河北省,130100,石家庄市,130184,新乐,xinle,xinle,114.68578,38.344768,0
101090501,130000,河北省,130200,唐山市,130200,唐山,Tangshan,tangshan,118.175393,39.635113,1
101090513,130000,河北省,130200,唐山市,130202,路南区,Lunan District,lunanqu,118.210821,39.615162,0
101090514,130000,河北省,130200,唐山市,130203,路北区,Lubei District,lubeiqu,118.174736,39.628538,0
